replicate,null_attr_pct
1,29.368976177486815
2,28.023276959447173
3,30.478268776141114
4,29.45990180032733
5,29.732678668848884
6,29.096199308965264
7,28.659756319330786
8,28.33242407710493
9,28.805237315875615
10,29.296235679214405
11,28.441534824513546
12,28.56883069649027
13,28.150572831423897
14,30.35097290416439
15,28.51427532278596
16,29.550827423167846
17,29.314420803782504
18,28.423349699945444
19,29.441716675759228
20,28.25968357883252
21,28.805237315875615
22,29.514457174031644
23,29.550827423167846
24,28.823422440443718
25,29.405346426623026
26,29.078014184397162
27,29.078014184397162
28,28.78705219130751
29,29.096199308965264
30,29.750863793416986
31,29.023458810692855
32,29.00527368612475
33,29.350791052918712
34,28.423349699945444
35,29.132569558101473
36,28.25968357883252
37,30.260047281323878
38,28.877977814148025
39,29.42353155119112
40,29.18712493180578
41,28.877977814148025
42,28.56883069649027
43,28.696126568466994
44,29.45990180032733
45,29.16893980723768
46,28.96890343698854
47,28.805237315875615
48,29.64175304600837
49,28.56883069649027
50,29.059829059829063
51,28.49609019821786
52,28.93253318785234
53,29.15075468266958
54,28.823422440443718
55,28.805237315875615
56,28.78705219130751
57,28.987088561556646
58,29.078014184397162
59,29.441716675759228
60,29.441716675759228
61,29.750863793416986
62,29.041643935260957
63,29.15075468266958
64,28.805237315875615
65,28.441534824513546
66,28.641571194762683
67,29.259865430078197
68,29.096199308965264
69,28.659756319330786
70,29.059829059829063
71,28.823422440443718
72,29.696308419712675
73,28.96890343698854
74,29.514457174031644
75,29.18712493180578
76,28.7143116930351
77,30.369158028732496
78,28.89616293871613
79,29.11438443353337
80,28.841607565011824
81,28.29605382796872
82,29.878159665393706
83,29.60538279687216
84,29.969085288234226
85,29.769048917985085
86,28.93253318785234
87,29.096199308965264
88,29.769048917985085
89,28.22331332969631
90,29.659938170576467
91,28.914348063284233
92,28.56883069649027
93,29.98727041280233
94,28.823422440443718
95,28.93253318785234
96,29.132569558101473
97,28.477905073649758
98,28.423349699945444
99,28.914348063284233
