,value
"stays with >=1 qualifying interruption, n (%)","3,453 (50.2)"
"qualifying interruptions, total","5,499"
"interruptions per affected stay, median (IQR)",1 (1-2)
"interruption hours per affected stay, median (IQR)",10.4 (5.2-18.4)
"single interruption duration h, median (IQR)",6.7 (3.7-12.0)
"energy lost per interruption kcal, median (IQR)",300 (164-561)
"interruption h per 100 feeding h, median",15.7
