shift_h,null_attr_pct
-96,31.332969630841973
-90,28.641571194762683
-84,27.568648845244592
-78,29.16893980723768
-72,31.66030187306783
-66,29.241680305510094
-60,27.44135297326787
-54,30.478268776141114
-48,31.27841425713766
-42,28.314238952536826
-36,26.91398436079287
-30,29.33260592835061
-24,31.151118385160935
-18,25.604655391889438
-12,21.603927986906708
12,19.07619567194035
18,23.513366066557555
24,26.568466993998907
30,24.96817603200582
36,24.659028914348063
42,28.22331332969631
48,30.260047281323878
54,28.40516457537734
60,26.659392616839426
66,29.22349518094199
72,31.66030187306783
78,28.696126568466994
84,26.877614111656666
90,29.478086924895436
96,31.714857246772137
