variant,obs_kcal,null_kcal,excess_kcal,ci,null_excluded
P0 priority-assigned (as in primary),250103,305372,-55269,"-83,306 to -28,676",True
P0 non-exclusive (any P0 in window),429334,448132,-18798,"-54,535 to 13,356",False
P0 excluding swallow screening,248851,304865,-56014,"-84,135 to -29,603",True
